v_inf,re,im
1.0,-12.875849454157171,-79.0130552793192
1.0,-13.41697826985514,-78.99676592223219
1.0,-13.423044161981597,-78.66521311486356
1.0,-13.630255048061503,-78.57739746647295
1.0,-14.155978573598032,-78.2759621403952
1.0,-13.473886256754042,-78.23713924758601
1.0,-13.443054444623618,-78.22652271259781
1.0,-13.425785458708761,-78.20549048517266
1.0,-13.52220731407194,-78.14332191991097
1.0,-13.565996039708354,-78.01304605689445
1.0,-4.483535822894512,-77.93152260892127
1.0,-7.638915479682043,-77.92648785178854
1.0,-13.658990246938869,-77.92573963124192
1.0,-11.517439633326655,-77.91215885605537
1.0,-13.213690509771354,-77.90760061698947
1.0,-13.538046158474437,-77.67333636405489
1.0,-13.81380395944832,-77.56874061648199
1.0,-1021.3990149813008,-77.51364192360201
1.0,-13.79670812754553,-77.28183045471707
1.0,-13.459254432367153,-77.1626332865859
1.0,-13.539712354505287,-77.10684181686341
1.0,-13.419186013824818,-77.10287953208623
1.0,-13.380734027910734,-77.06584254294397
1.0,-13.695549145260957,-77.04880691908437
1.0,-13.440786683337604,-77.0392266008713
1.0,-7.866130347740346,-76.80136924022828
1.0,-10.50584973242211,-76.77240962858019
1.0,-12.876983226186809,-76.72678427879569
1.0,-13.440754140499434,-76.68571171058778
1.0,-782.0360120785438,-76.590830966452
1.0,-13.450961576768158,-76.3499061399484
1.0,-13.66092859557355,-76.25200756048056
1.0,-0.5537573443687078,-76.24080923446063
1.0,-834.4757276183808,-76.12489525860533
1.0,-951.1290575080618,-76.07081700822721
1.0,-14.168606620022697,-75.9722414102527
1.0,-13.497487050756725,-75.93751253930576
1.0,-13.439755620394333,-75.91289026594865
1.0,-13.462941887568656,-75.88716288474276
1.0,-13.558307993131649,-75.81397575460292
1.0,-13.571588211889738,-75.66786665951247
1.0,-4.479378738153873,-75.64925534756966
1.0,-7.633805344352604,-75.64345883619906
1.0,-11.51454357441695,-75.62617898529776
1.0,-13.208203702083084,-75.62265847020038
1.0,-13.670107972785468,-75.61161774683157
1.0,-13.54193598644066,-75.33797579144627
1.0,-13.76145058920814,-75.25299824375064
1.0,-13.831692588098274,-74.94814518229447
1.0,-13.470072756836466,-74.8539603646164
1.0,-471.76170527101203,-74.83344605535935
1.0,-630.4249246765382,-74.80151432763952
1.0,-13.563423171502235,-74.78292999901333
1.0,-13.45991092272503,-74.78067909947679
