v_inf,re,im
5.0,-52.51799751582503,-383.90039696883787
5.0,-2.734242374617895,-383.77127510429557
5.0,-64.40985375484794,-383.71223730938914
5.0,-67.21293228458308,-383.4627278500503
5.0,-67.35949792168368,-381.7022280516212
5.0,-68.08800171879277,-381.3599518777473
5.0,-71.81949185215953,-379.8793781769514
5.0,-67.07932086075394,-379.56804506216275
5.0,-67.28503834981362,-379.5591554315365
5.0,-67.45405956097174,-379.37321752548394
5.0,-2.71489235960385,-379.26267385685225
5.0,-67.76345286532231,-379.09074527136363
5.0,-5114.366832049573,-378.83376770479623
5.0,-57.33825666248009,-378.4104570211323
5.0,-67.8408425742523,-378.30275172881363
5.0,-22.40140288008139,-378.26446675956424
5.0,-38.17405167139734,-378.2133440029098
5.0,-65.96564619772234,-377.8819442936198
5.0,-68.22498629008582,-377.86718717091685
5.0,-67.65879139348354,-376.8733314490879
5.0,-68.76677797123182,-376.3173862102068
5.0,-4282.031579249277,-376.0373180587354
5.0,-69.45463199215818,-374.83669526923535
5.0,-5339.241072679045,-374.7317878548117
5.0,-67.3362125327604,-374.20010762859033
5.0,-1899.5688814832486,-374.0577915550676
5.0,-67.30676181042917,-373.9587771164544
5.0,-67.8759178484494,-373.76577949053785
5.0,-5179.17713044676,-373.73622473378526
5.0,-68.80546453454888,-373.7091823762386
5.0,-67.17969705770166,-373.6953947413205
5.0,-67.36398750858633,-373.605625476023
5.0,-2.6876533974454437,-373.2866277805458
5.0,-39.32754992003978,-372.5954077949537
5.0,-52.48872987994609,-372.47999879313346
5.0,-64.38668735615545,-372.28456982342067
5.0,-67.30248273496478,-371.9228952571639
5.0,-67.52512550989556,-370.19350119361974
5.0,-2912.9987249116148,-369.7762544095555
5.0,-68.21583937911322,-369.72139071529455
5.0,-71.96402037145002,-368.9715788390408
5.0,-1547.3709196769025,-368.2933166740813
5.0,-67.19148882908601,-367.9679002707719
5.0,-67.37791722520205,-367.948015950738
5.0,-67.60557997740538,-367.8014747297613
5.0,-67.9337004088345,-367.4174729211201
5.0,-3541.6229791377896,-367.1325494653617
5.0,-57.28664330934802,-366.9961545666949
5.0,-22.37253101682249,-366.85472753022316
5.0,-38.14589294951647,-366.79690819503236
5.0,-67.88373044837638,-366.5654127481326
5.0,-65.9396373337931,-366.41458591160995
5.0,-68.31232271407076,-366.1980117217668
5.0,-2.6517553972755463,-365.8204067762789
5.0,-67.64028586338704,-365.1718853433826
5.0,-68.56703088793579,-364.69260137861806
5.0,-69.6256103224135,-363.3974582392051
5.0,-3970.4617592041245,-362.73977090977667
5.0,-67.4457089609105,-362.70538280731853
5.0,-67.49877886728098,-362.4098995340441
5.0,-68.08564873899236,-362.1596403517302
5.0,-67.40909990770116,-362.13328640319503
5.0,-69.045340468189,-362.07609812373926
5.0,-67.56295488514057,-362.05413458817816
5.0,-39.30163409855542,-361.19198852840634
5.0,-52.45561798220126,-361.0590668097268
5.0,-64.35620366488895,-360.85696425476914
5.0,-67.39046269785942,-360.3871117077354
5.0,-5044.519842057478,-358.83232941212844
5.0,-67.66656634039788,-358.6916228295177
5.0,-68.38445386793889,-358.19314581125974
5.0,-71.81571436681011,-358.1473927234518
5.0,-4.373370086307203,-357.2176379093267
5.0,-2.6166229574450615,-356.7775367182302
5.0,-4350.77237095963,-356.54972556666644
5.0,-67.33377478512514,-356.3843575343394
5.0,-67.49878667161929,-356.3441336918157
