v_inf,re,im
5.0,-36.69366317603846,-379.10087850427874
5.0,-67.92852514292609,-378.3202348018277
5.0,-22.524427611106304,-378.1101475504125
5.0,-68.38744428598967,-378.0584666045306
5.0,-67.39503122664473,-376.7393920618619
5.0,-68.70320932878366,-376.3839945324419
5.0,-4807.982014019426,-375.30962201693404
5.0,-69.5064835614061,-374.94196388831585
5.0,-67.37470945165512,-374.2940713301923
5.0,-5232.439971058885,-374.18313111817804
5.0,-67.24239689682739,-373.9325129909062
5.0,-67.14265652945473,-373.7396853328877
5.0,-67.46052376028936,-373.67723161885857
5.0,-68.23667256896653,-373.5121210789616
5.0,-67.71277809414578,-373.3816632874371
5.0,-2.6875255160758496,-373.28686734055543
5.0,-62.392662318889116,-372.8275989685288
5.0,-56.59320742902968,-372.13963585841014
5.0,-67.29750889455737,-371.9650312500998
5.0,-50.138990182857505,-371.0248850224427
5.0,-71.3533714953964,-370.8373312884585
5.0,-67.56485072366627,-370.24974058544046
5.0,-5001.995869456901,-369.86123259976546
5.0,-67.97860952926798,-369.8506764564405
5.0,-68.31201084062143,-369.20998461473016
5.0,-41.15657787590051,-369.1987120484921
5.0,-5297.806617229568,-368.8374430325592
5.0,-67.17560860496812,-367.9795700480576
5.0,-67.37216364196028,-367.9058325287188
5.0,-67.57796435444119,-367.8303611335323
5.0,-36.70747765569442,-367.82167541413975
5.0,-67.91086806351433,-367.44730104723055
5.0,-22.47493683383828,-366.68357551098234
5.0,-67.95300278438565,-366.5539222127114
5.0,-68.4194013171466,-366.4085161040844
5.0,-2.6513255283731443,-365.82141114441566
5.0,-67.40483656532743,-365.03770515171027
5.0,-68.5833973609113,-364.7263115926724
5.0,-5196.281007235705,-364.07337165845234
5.0,-69.61556350075475,-363.5588034405747
5.0,-67.47387428375765,-362.7813881070222
5.0,-67.42961682751499,-362.3743453440113
5.0,-67.35413366298212,-362.21212547879037
5.0,-67.65229387168249,-362.15827372218166
5.0,-68.49792570384157,-361.9220513032829
5.0,-67.84062101371195,-361.7311331449955
5.0,-62.33892575345806,-361.4582863485744
5.0,-56.626967086587086,-360.68922267950904
5.0,-1897.5276079088571,-360.47300312648764
5.0,-67.39220123500279,-360.4179988207649
5.0,-50.26918451557692,-359.67447087417196
5.0,-71.54662399869635,-359.4112813568941
5.0,-3391.620658357972,-359.4029444238207
