v_inf,re,im
107.0,-1.1628285927889228,360.9252120285451
107.0,-1.166580233373043,363.53747782439444
107.0,-3810.5911863978754,367.6185629200655
107.0,-84.50879267467316,367.6185629200655
107.0,-720.2652376820969,367.6185629200655
107.0,-548.6394810750929,367.6185629200655
107.0,-410.4139433524073,367.6185629200655
107.0,-212.97373100094305,367.6185629200655
107.0,-163.84258072898456,367.6185629200655
107.0,-121.13733195856135,367.6185629200655
107.0,-998.2898318415185,367.6185629200655
107.0,-inf,
107.0,-inf,
107.0,-inf,
107.0,-inf,
108.0,-1.1774147308069058,-366.8965354325247
108.0,-1.1735570726687905,-364.23524281581115
